DateTime	Temperature	Illumination	Cage
2016-04-06 02:33:05	21.2	0	1
2016-04-06 02:34:05	21.2	0	1
2016-04-06 02:35:05	21.2	0	1
2016-04-06 02:36:05	21.2	0	1
2016-04-06 02:37:05	21.2	0	1
2016-04-06 02:38:05	21.2	0	1
2016-04-06 02:39:05	21.2	0	1
2016-04-06 02:40:05	21.2	0	1
2016-04-06 02:41:05	21.2	0	1
2016-04-06 02:42:05	21.2	0	1
2016-04-06 02:43:05	21.2	0	1
2016-04-06 02:44:05	21.2	0	1
2016-04-06 02:45:05	21.2	0	1
2016-04-06 02:46:05	21.2	0	1
2016-04-06 02:47:05	21.2	0	1
2016-04-06 02:48:05	21.2	0	1
2016-04-06 02:49:05	21.2	0	1
2016-04-06 02:50:05	21.2	0	1
2016-04-06 02:51:05	21.2	0	1
2016-04-06 02:52:05	21.2	0	1
2016-04-06 02:53:05	21.2	0	1
2016-04-06 02:54:05	21.2	0	1
2016-04-06 02:55:05	21.2	0	1
2016-04-06 02:56:05	21.2	0	1
2016-04-06 02:57:05	21.2	0	1
2016-04-06 02:58:05	21.2	0	1
2016-04-06 02:59:05	21.2	0	1
2016-04-06 03:00:05	21.2	0	1
2016-04-06 03:01:05	21.2	0	1
2016-04-06 03:02:05	21.2	0	1
2016-04-06 03:03:05	21.2	0	1
2016-04-06 03:04:05	21.2	0	1
2016-04-06 03:05:05	21.2	0	1
2016-04-06 03:06:05	21.2	0	1
2016-04-06 03:07:05	21.2	0	1
2016-04-06 03:08:05	21.2	0	1
2016-04-06 03:09:05	21.2	0	1
2016-04-06 03:10:05	21.2	0	1
2016-04-06 03:11:05	21.2	0	1
2016-04-06 03:12:05	21.2	0	1
2016-04-06 03:13:05	21.2	0	1
2016-04-06 03:14:05	21.2	0	1
2016-04-06 03:15:05	21.2	0	1
2016-04-06 03:16:05	21.2	0	1
2016-04-06 03:17:05	21.2	0	1
2016-04-06 03:18:05	21.2	0	1
2016-04-06 03:19:05	21.2	0	1
